,StudentID,AssignmentID,MeanTimeDifferenceSeconds
0,Student1,Assign6,2203.476307
1,Student1,Assign7,723.4738
2,Student1,Assign8,161.73925
3,Student1,Assign9,244.912255
4,Student1,Assign10,172.734196
5,Student1,Assign11,0
6,Student1,Assign12,329.232538
7,Student1,Assign13,303.200518
8,Student2,Assign6,564.4
9,Student2,Assign7,154.544454
10,Student2,Assign8,0
11,Student2,Assign9,0
12,Student2,Assign10,0
13,Student2,Assign11,0
14,Student2,Assign12,0
15,Student2,Assign13,0
16,Student3,Assign6,128.630337
17,Student3,Assign7,137.520666
18,Student3,Assign8,280.5085
19,Student3,Assign9,891.676342
20,Student3,Assign10,581.347915
21,Student3,Assign11,728.258217
22,Student3,Assign12,838.385428
23,Student3,Assign13,23138.57633
24,Student4,Assign6,624.746209
25,Student4,Assign7,0
26,Student4,Assign8,0
27,Student4,Assign9,0
28,Student4,Assign10,0
29,Student4,Assign11,0
30,Student4,Assign12,0
31,Student4,Assign13,0
32,Student5,Assign6,0
33,Student5,Assign7,0
34,Student5,Assign8,0
35,Student5,Assign9,0
36,Student5,Assign10,0
37,Student5,Assign11,0
38,Student5,Assign12,6754.653507
39,Student5,Assign13,63088.60943
40,Student6,Assign6,39.57211
41,Student6,Assign7,0
42,Student6,Assign8,464.940307
43,Student6,Assign9,386.9495
44,Student6,Assign10,1296.161705
45,Student6,Assign11,1576.909666
46,Student6,Assign12,86.669555
47,Student6,Assign13,23.9458
48,Student7,Assign6,1371.991792
49,Student7,Assign7,3499.3484
50,Student7,Assign8,5172.156242
51,Student7,Assign9,10978.105
52,Student7,Assign10,1246.443482
53,Student7,Assign11,9318.830937
54,Student7,Assign12,10646.21154
55,Student7,Assign13,9238.923028
56,Student8,Assign6,892.051108
57,Student8,Assign7,1356.81872
58,Student8,Assign8,506.882
59,Student8,Assign9,372.265947
60,Student8,Assign10,225.139361
61,Student8,Assign11,408.792303
62,Student8,Assign12,200.575012
63,Student8,Assign13,0
64,Student9,Assign6,121.165746
65,Student9,Assign7,299.587245
66,Student9,Assign8,279.577912
67,Student9,Assign9,1107.180049
68,Student9,Assign10,968.946646
69,Student9,Assign11,429.952738
70,Student9,Assign12,638.986867
71,Student9,Assign13,3309.517037
72,Student10,Assign6,2142.915711
73,Student10,Assign7,1143.195625
74,Student10,Assign8,3602.412866
75,Student10,Assign9,2588.231686
76,Student10,Assign10,414.806608
77,Student10,Assign11,776.748789
78,Student10,Assign12,223.654644
79,Student10,Assign13,0
80,Student11,Assign6,2356.079638
81,Student11,Assign7,0
82,Student11,Assign8,0
83,Student11,Assign9,0
84,Student11,Assign10,0
85,Student11,Assign11,0
86,Student11,Assign12,0
87,Student11,Assign13,0
88,Student12,Assign6,385.903237
89,Student12,Assign7,687.739702
90,Student12,Assign8,0
91,Student12,Assign9,5080.111025
92,Student12,Assign10,2207.919256
93,Student12,Assign11,0
94,Student12,Assign12,1543.729
95,Student12,Assign13,4874.749928
96,Student13,Assign6,537.42372
97,Student13,Assign7,0
98,Student13,Assign8,0
99,Student13,Assign9,0
100,Student13,Assign10,0
101,Student13,Assign11,0
102,Student13,Assign12,0
103,Student13,Assign13,0
104,Student14,Assign6,43.660642
105,Student14,Assign7,0
106,Student14,Assign8,0
107,Student14,Assign9,0
108,Student14,Assign10,0
109,Student14,Assign11,0
110,Student14,Assign12,0
111,Student14,Assign13,0
112,Student15,Assign6,2529.185258
113,Student15,Assign7,300.391131
114,Student15,Assign8,9363.242972
115,Student15,Assign9,3850.126408
116,Student15,Assign10,0
117,Student15,Assign11,0
118,Student15,Assign12,0
119,Student15,Assign13,0
120,Student16,Assign6,4738.678899
121,Student16,Assign7,3119.454402
122,Student16,Assign8,0
123,Student16,Assign9,4002.294661
124,Student16,Assign10,9984.337772
125,Student16,Assign11,6873.710081
126,Student16,Assign12,8512.661716
127,Student16,Assign13,4148.771033
128,Student17,Assign6,0
129,Student17,Assign7,5200.9045
130,Student17,Assign8,112.886571
131,Student17,Assign9,0
132,Student17,Assign10,0
133,Student17,Assign11,0
134,Student17,Assign12,0
135,Student17,Assign13,0
136,Student18,Assign6,442.103916
137,Student18,Assign7,1598.963805
138,Student18,Assign8,4227.31226
139,Student18,Assign9,3969.875019
140,Student18,Assign10,975.564179
141,Student18,Assign11,1377.45271
142,Student18,Assign12,114.54
143,Student18,Assign13,0
144,Student19,Assign6,46.652228
145,Student19,Assign7,145.883166
146,Student19,Assign8,86.903822
147,Student19,Assign9,0
148,Student19,Assign10,72.171208
149,Student19,Assign11,175.60475
150,Student19,Assign12,333.508341
151,Student19,Assign13,173.92336
152,Student20,Assign6,477.583995
153,Student20,Assign7,325.300412
154,Student20,Assign8,262.4808
155,Student20,Assign9,114.969608
156,Student20,Assign10,158.930045
157,Student20,Assign11,117.092666
158,Student20,Assign12,0
159,Student20,Assign13,0
160,Student21,Assign6,3483.982245
161,Student21,Assign7,819.650204
162,Student21,Assign8,1985.669864
163,Student21,Assign9,3994.732344
164,Student21,Assign10,1443.616218
165,Student21,Assign11,0
166,Student21,Assign12,3583.881428
167,Student21,Assign13,1708.42415
168,Student22,Assign6,537.901247
169,Student22,Assign7,194.464035
170,Student22,Assign8,60.621514
171,Student22,Assign9,996.291203
172,Student22,Assign10,1380.04357
173,Student22,Assign11,617.098112
174,Student22,Assign12,83.19804
175,Student22,Assign13,0
176,Student23,Assign6,1455.67077
177,Student23,Assign7,249.594097
178,Student23,Assign8,1073.410218
179,Student23,Assign9,478.910114
180,Student23,Assign10,0
181,Student23,Assign11,548.263804
182,Student23,Assign12,1731.983016
183,Student23,Assign13,0
184,Student24,Assign6,131.481197
185,Student24,Assign7,234.402817
186,Student24,Assign8,558.680531
187,Student24,Assign9,1482.398768
188,Student24,Assign10,1230.523239
189,Student24,Assign11,407.024894
190,Student24,Assign12,1612.039976
191,Student24,Assign13,1413.412947
192,Student25,Assign6,109.144179
193,Student25,Assign7,0
194,Student25,Assign8,0
195,Student25,Assign9,0
196,Student25,Assign10,0
197,Student25,Assign11,0
198,Student25,Assign12,0
199,Student25,Assign13,0
200,Student26,Assign6,1315.839828
201,Student26,Assign7,630.904607
202,Student26,Assign8,2207.672212
203,Student26,Assign9,904.793972
204,Student26,Assign10,2250.985738
205,Student26,Assign11,2958.644445
206,Student26,Assign12,2379.730214
207,Student26,Assign13,799.976678
208,Student27,Assign6,136.433415
209,Student27,Assign7,565.616576
210,Student27,Assign8,1666.942637
211,Student27,Assign9,860.893651
212,Student27,Assign10,2304.913924
213,Student27,Assign11,3085.556181
214,Student27,Assign12,5967.099971
215,Student27,Assign13,1820.27387
216,Student28,Assign6,2710.584935
217,Student28,Assign7,4432.456627
218,Student28,Assign8,7931.322137
219,Student28,Assign9,3265.457421
220,Student28,Assign10,3189.806138
221,Student28,Assign11,4578.235208
222,Student28,Assign12,3673.141226
223,Student28,Assign13,4951.356243
224,Student29,Assign6,3662.80924
225,Student29,Assign7,0
226,Student29,Assign8,2500.766987
227,Student29,Assign9,0
228,Student29,Assign10,0
229,Student29,Assign11,0
230,Student29,Assign12,4979.142671
231,Student29,Assign13,2354.725702
232,Student30,Assign6,1642.081713
233,Student30,Assign7,652.511741
234,Student30,Assign8,980.621768
235,Student30,Assign9,1509.956285
236,Student30,Assign10,713.08697
237,Student30,Assign11,1193.1884
238,Student30,Assign12,1689.97745
239,Student30,Assign13,2555.930155
240,Student31,Assign6,115.390953
241,Student31,Assign7,209.735432
242,Student31,Assign8,0
243,Student31,Assign9,0
244,Student31,Assign10,0
245,Student31,Assign11,0
246,Student31,Assign12,0
247,Student31,Assign13,0
248,Student32,Assign6,1390.132985
249,Student32,Assign7,113.49822
250,Student32,Assign8,105.545473
251,Student32,Assign9,2837.224483
252,Student32,Assign10,803.879631
253,Student32,Assign11,13039.35429
254,Student32,Assign12,45.639625
255,Student32,Assign13,0
256,Student33,Assign6,906.542693
257,Student33,Assign7,747.15914
258,Student33,Assign8,798.320192
259,Student33,Assign9,722.115525
260,Student33,Assign10,772.459334
261,Student33,Assign11,850.89093
262,Student33,Assign12,699.277826
263,Student33,Assign13,0
264,Student34,Assign6,110.687406
265,Student34,Assign7,471.366574
266,Student34,Assign8,3249.785128
267,Student34,Assign9,2986.560567
268,Student34,Assign10,356.400827
269,Student34,Assign11,472.038961
270,Student34,Assign12,16117.10567
271,Student34,Assign13,0
272,Student35,Assign6,870.141303
273,Student35,Assign7,0
274,Student35,Assign8,0
275,Student35,Assign9,0
276,Student35,Assign10,0
277,Student35,Assign11,0
278,Student35,Assign12,0
279,Student35,Assign13,0
280,Student36,Assign6,235.745294
281,Student36,Assign7,368.395365
282,Student36,Assign8,150.828532
283,Student36,Assign9,775.453331
284,Student36,Assign10,646.394432
285,Student36,Assign11,2473.319253
286,Student36,Assign12,178.150333
287,Student36,Assign13,157.910083
288,Student37,Assign6,214.898134
289,Student37,Assign7,94.044693
290,Student37,Assign8,84.228625
291,Student37,Assign9,539.563972
292,Student37,Assign10,74.866878
293,Student37,Assign11,4402.34919
294,Student37,Assign12,0
295,Student37,Assign13,0
296,Student38,Assign6,83.29344
297,Student38,Assign7,1408.028981
298,Student38,Assign8,1639.011723
299,Student38,Assign9,1680.189925
300,Student38,Assign10,318.35828
301,Student38,Assign11,273.887481
302,Student38,Assign12,0
303,Student38,Assign13,207.907348
304,Student39,Assign6,1686.680291
305,Student39,Assign7,2878.83418
306,Student39,Assign8,869.05775
307,Student39,Assign9,1746.599413
308,Student39,Assign10,2888.194717
309,Student39,Assign11,1219.653112
310,Student39,Assign12,3135.688786
311,Student39,Assign13,5954.287018
312,Student40,Assign6,1647.015223
313,Student40,Assign7,866.299462
314,Student40,Assign8,1188.825901
315,Student40,Assign9,2076.567819
316,Student40,Assign10,2179.419379
317,Student40,Assign11,1897.184037
318,Student40,Assign12,1877.77135
319,Student40,Assign13,0
320,Student41,Assign6,40.924894
321,Student41,Assign7,0
322,Student41,Assign8,0
323,Student41,Assign9,0
324,Student41,Assign10,0
325,Student41,Assign11,0
326,Student41,Assign12,0
327,Student41,Assign13,0
328,Student42,Assign6,60.340544
329,Student42,Assign7,124.010425
330,Student42,Assign8,472.523408
331,Student42,Assign9,1118.321175
332,Student42,Assign10,411.788487
333,Student42,Assign11,1585.34968
334,Student42,Assign12,1358.105625
335,Student42,Assign13,468.791481
336,Student43,Assign6,187.63501
337,Student43,Assign7,635.415117
338,Student43,Assign8,973.687484
339,Student43,Assign9,1779.467312
340,Student43,Assign10,856.688482
341,Student43,Assign11,1953.413903
342,Student43,Assign12,2161.26335
343,Student43,Assign13,1863.208229
344,Student44,Assign6,4826.643192
345,Student44,Assign7,1114.01852
346,Student44,Assign8,189.167052
347,Student44,Assign9,0
348,Student44,Assign10,1557.472438
349,Student44,Assign11,2797.972734
350,Student44,Assign12,10770.62
351,Student44,Assign13,0