,Student,Assignment,Error_Count
0,Student1,Assign6,34
1,Student1,Assign7,20
2,Student1,Assign8,1
3,Student1,Assign9,22
4,Student1,Assign10,16
5,Student1,Assign11,0
6,Student1,Assign12,13
7,Student1,Assign13,14
8,Student2,Assign6,3
9,Student2,Assign7,2
10,Student2,Assign8,0
11,Student2,Assign9,0
12,Student2,Assign10,0
13,Student2,Assign11,0
14,Student2,Assign12,0
15,Student2,Assign13,0
16,Student3,Assign6,46
17,Student3,Assign7,56
18,Student3,Assign8,2
19,Student3,Assign9,13
20,Student3,Assign10,7
21,Student3,Assign11,0
22,Student3,Assign12,38
23,Student3,Assign13,2
24,Student4,Assign6,135
25,Student4,Assign7,0
26,Student4,Assign8,0
27,Student4,Assign9,0
28,Student4,Assign10,0
29,Student4,Assign11,0
30,Student4,Assign12,0
31,Student4,Assign13,0
32,Student5,Assign6,0
33,Student5,Assign7,0
34,Student5,Assign8,0
35,Student5,Assign9,0
36,Student5,Assign10,0
37,Student5,Assign11,0
38,Student5,Assign12,67
39,Student5,Assign13,7
40,Student6,Assign6,199
41,Student6,Assign7,0
42,Student6,Assign8,0
43,Student6,Assign9,2
44,Student6,Assign10,2
45,Student6,Assign11,7
46,Student6,Assign12,1
47,Student6,Assign13,1
48,Student7,Assign6,168
49,Student7,Assign7,72
50,Student7,Assign8,10
51,Student7,Assign9,25
52,Student7,Assign10,39
53,Student7,Assign11,6
54,Student7,Assign12,17
55,Student7,Assign13,26
56,Student8,Assign6,28
57,Student8,Assign7,30
58,Student8,Assign8,39
59,Student8,Assign9,69
60,Student8,Assign10,64
61,Student8,Assign11,45
62,Student8,Assign12,31
63,Student8,Assign13,0
64,Student9,Assign6,175
65,Student9,Assign7,241
66,Student9,Assign8,5
67,Student9,Assign9,24
68,Student9,Assign10,1
69,Student9,Assign11,1
70,Student9,Assign12,31
71,Student9,Assign13,4
72,Student10,Assign6,149
73,Student10,Assign7,55
74,Student10,Assign8,5
75,Student10,Assign9,15
76,Student10,Assign10,19
77,Student10,Assign11,1
78,Student10,Assign12,27
79,Student10,Assign13,0
80,Student11,Assign6,37
81,Student11,Assign7,0
82,Student11,Assign8,0
83,Student11,Assign9,0
84,Student11,Assign10,0
85,Student11,Assign11,0
86,Student11,Assign12,0
87,Student11,Assign13,0
88,Student12,Assign6,337
89,Student12,Assign7,134
90,Student12,Assign8,0
91,Student12,Assign9,22
92,Student12,Assign10,40
93,Student12,Assign11,0
94,Student12,Assign12,55
95,Student12,Assign13,16
96,Student13,Assign6,143
97,Student13,Assign7,0
98,Student13,Assign8,0
99,Student13,Assign9,0
100,Student13,Assign10,0
101,Student13,Assign11,0
102,Student13,Assign12,0
103,Student13,Assign13,0
104,Student14,Assign6,9
105,Student14,Assign7,0
106,Student14,Assign8,0
107,Student14,Assign9,0
108,Student14,Assign10,0
109,Student14,Assign11,0
110,Student14,Assign12,0
111,Student14,Assign13,0
112,Student15,Assign6,73
113,Student15,Assign7,48
114,Student15,Assign8,9
115,Student15,Assign9,8
116,Student15,Assign10,0
117,Student15,Assign11,0
118,Student15,Assign12,0
119,Student15,Assign13,0
120,Student16,Assign6,94
121,Student16,Assign7,65
122,Student16,Assign8,0
123,Student16,Assign9,33
124,Student16,Assign10,28
125,Student16,Assign11,31
126,Student16,Assign12,64
127,Student16,Assign13,8
128,Student17,Assign6,1
129,Student17,Assign7,24
130,Student17,Assign8,43
131,Student17,Assign9,0
132,Student17,Assign10,0
133,Student17,Assign11,0
134,Student17,Assign12,0
135,Student17,Assign13,0
136,Student18,Assign6,27
137,Student18,Assign7,44
138,Student18,Assign8,3
139,Student18,Assign9,7
140,Student18,Assign10,0
141,Student18,Assign11,1
142,Student18,Assign12,2
143,Student18,Assign13,1
144,Student19,Assign6,90
145,Student19,Assign7,15
146,Student19,Assign8,7
147,Student19,Assign9,0
148,Student19,Assign10,0
149,Student19,Assign11,0
150,Student19,Assign12,6
151,Student19,Assign13,0
152,Student20,Assign6,175
153,Student20,Assign7,205
154,Student20,Assign8,2
155,Student20,Assign9,9
156,Student20,Assign10,2
157,Student20,Assign11,2
158,Student20,Assign12,1
159,Student20,Assign13,0
160,Student21,Assign6,80
161,Student21,Assign7,66
162,Student21,Assign8,38
163,Student21,Assign9,12
164,Student21,Assign10,27
165,Student21,Assign11,0
166,Student21,Assign12,45
167,Student21,Assign13,20
168,Student22,Assign6,320
169,Student22,Assign7,140
170,Student22,Assign8,110
171,Student22,Assign9,47
172,Student22,Assign10,21
173,Student22,Assign11,22
174,Student22,Assign12,18
175,Student22,Assign13,0
176,Student23,Assign6,210
177,Student23,Assign7,106
178,Student23,Assign8,127
179,Student23,Assign9,76
180,Student23,Assign10,0
181,Student23,Assign11,23
182,Student23,Assign12,36
183,Student23,Assign13,0
184,Student24,Assign6,179
185,Student24,Assign7,80
186,Student24,Assign8,3
187,Student24,Assign9,6
188,Student24,Assign10,7
189,Student24,Assign11,2
190,Student24,Assign12,39
191,Student24,Assign13,43
192,Student25,Assign6,25
193,Student25,Assign7,0
194,Student25,Assign8,0
195,Student25,Assign9,0
196,Student25,Assign10,0
197,Student25,Assign11,0
198,Student25,Assign12,0
199,Student25,Assign13,0
200,Student26,Assign6,305
201,Student26,Assign7,207
202,Student26,Assign8,2
203,Student26,Assign9,16
204,Student26,Assign10,4
205,Student26,Assign11,2
206,Student26,Assign12,26
207,Student26,Assign13,38
208,Student27,Assign6,245
209,Student27,Assign7,168
210,Student27,Assign8,55
211,Student27,Assign9,32
212,Student27,Assign10,0
213,Student27,Assign11,1
214,Student27,Assign12,28
215,Student27,Assign13,15
216,Student28,Assign6,154
217,Student28,Assign7,36
218,Student28,Assign8,15
219,Student28,Assign9,30
220,Student28,Assign10,37
221,Student28,Assign11,23
222,Student28,Assign12,41
223,Student28,Assign13,12
224,Student29,Assign6,132
225,Student29,Assign7,0
226,Student29,Assign8,100
227,Student29,Assign9,0
228,Student29,Assign10,0
229,Student29,Assign11,0
230,Student29,Assign12,33
231,Student29,Assign13,11
232,Student30,Assign6,326
233,Student30,Assign7,133
234,Student30,Assign8,4
235,Student30,Assign9,49
236,Student30,Assign10,184
237,Student30,Assign11,9
238,Student30,Assign12,51
239,Student30,Assign13,30
240,Student31,Assign6,111
241,Student31,Assign7,23
242,Student31,Assign8,0
243,Student31,Assign9,0
244,Student31,Assign10,0
245,Student31,Assign11,0
246,Student31,Assign12,0
247,Student31,Assign13,0
248,Student32,Assign6,158
249,Student32,Assign7,47
250,Student32,Assign8,2
251,Student32,Assign9,2
252,Student32,Assign10,0
253,Student32,Assign11,0
254,Student32,Assign12,3
255,Student32,Assign13,0
256,Student33,Assign6,335
257,Student33,Assign7,76
258,Student33,Assign8,7
259,Student33,Assign9,37
260,Student33,Assign10,128
261,Student33,Assign11,17
262,Student33,Assign12,86
263,Student33,Assign13,0
264,Student34,Assign6,141
265,Student34,Assign7,45
266,Student34,Assign8,36
267,Student34,Assign9,68
268,Student34,Assign10,35
269,Student34,Assign11,16
270,Student34,Assign12,47
271,Student34,Assign13,0
272,Student35,Assign6,12
273,Student35,Assign7,0
274,Student35,Assign8,0
275,Student35,Assign9,0
276,Student35,Assign10,0
277,Student35,Assign11,0
278,Student35,Assign12,0
279,Student35,Assign13,0
280,Student36,Assign6,147
281,Student36,Assign7,166
282,Student36,Assign8,25
283,Student36,Assign9,63
284,Student36,Assign10,6
285,Student36,Assign11,9
286,Student36,Assign12,8
287,Student36,Assign13,2
288,Student37,Assign6,139
289,Student37,Assign7,22
290,Student37,Assign8,0
291,Student37,Assign9,14
292,Student37,Assign10,2
293,Student37,Assign11,0
294,Student37,Assign12,0
295,Student37,Assign13,0
296,Student38,Assign6,191
297,Student38,Assign7,37
298,Student38,Assign8,3
299,Student38,Assign9,34
300,Student38,Assign10,1
301,Student38,Assign11,0
302,Student38,Assign12,0
303,Student38,Assign13,23
304,Student39,Assign6,263
305,Student39,Assign7,72
306,Student39,Assign8,4
307,Student39,Assign9,17
308,Student39,Assign10,8
309,Student39,Assign11,2
310,Student39,Assign12,41
311,Student39,Assign13,6
312,Student40,Assign6,181
313,Student40,Assign7,115
314,Student40,Assign8,27
315,Student40,Assign9,24
316,Student40,Assign10,46
317,Student40,Assign11,10
318,Student40,Assign12,51
319,Student40,Assign13,0
320,Student41,Assign6,179
321,Student41,Assign7,0
322,Student41,Assign8,0
323,Student41,Assign9,0
324,Student41,Assign10,0
325,Student41,Assign11,0
326,Student41,Assign12,0
327,Student41,Assign13,0
328,Student42,Assign6,321
329,Student42,Assign7,28
330,Student42,Assign8,18
331,Student42,Assign9,46
332,Student42,Assign10,208
333,Student42,Assign11,22
334,Student42,Assign12,42
335,Student42,Assign13,39
336,Student43,Assign6,85
337,Student43,Assign7,147
338,Student43,Assign8,69
339,Student43,Assign9,52
340,Student43,Assign10,25
341,Student43,Assign11,19
342,Student43,Assign12,26
343,Student43,Assign13,29
344,Student44,Assign6,38
345,Student44,Assign7,39
346,Student44,Assign8,7
347,Student44,Assign9,0
348,Student44,Assign10,19
349,Student44,Assign11,28
350,Student44,Assign12,18
351,Student44,Assign13,0
